Time (s),Voltage (V),Disp. (cm),Stress (MPa),DC (%),deltaT
0.14221600,-0.00008416,-0.00000107,-0.00010018,2.92676283,-0.12564671
0.34265600,-0.00009116,-0.00000107,-0.00010918,1.07846683,0.01623129
0.54309600,-0.00026116,-0.00000207,-0.00031118,0.38102583,0.30033129
0.74353600,-0.00071016,-0.00000707,-0.00084418,2.35798883,0.95989129
0.94397600,-0.00145116,-0.00001407,-0.00172418,1.33763483,2.11288229
1.14441600,-0.00212716,-0.00002007,-0.00252918,8.27337883,3.53511229
1.34485600,-0.00183516,-0.00001807,-0.00218218,9.15833183,4.95942429
1.54529600,0.00004984,0.00000093,0.00005882,11.31828583,6.41863429
1.74573600,0.00343384,0.00003293,0.00408182,14.72641883,7.84281529
1.94617600,0.00885684,0.00008593,0.01052682,15.77382383,9.14071229
2.14661600,0.01718284,0.00016593,0.02042482,18.80800983,10.32992529
2.34705600,0.02689284,0.00025993,0.03196482,22.99907183,11.38821329
2.54749600,0.03784684,0.00036493,0.04498582,24.00455683,12.45129929
2.74793600,0.04951684,0.00047793,0.05885682,24.00159883,13.41605129
2.94837600,0.06111584,0.00058993,0.07264282,27.10859783,14.31093129
3.14881600,0.07169184,0.00069193,0.08521482,27.49533783,15.07833529
3.34925600,0.07930184,0.00076493,0.09425982,31.02528683,15.72214729
3.54969600,0.08357984,0.00080693,0.09934482,30.93866983,16.27861329
3.75013600,0.08655384,0.00083493,0.10287982,34.42580383,16.74468429
3.94957400,0.08754584,0.00084493,0.10405882,36.05715883,17.11601229
4.15001300,0.08965484,0.00086493,0.10656582,37.39784583,17.45934629
4.35045300,0.09330484,0.00089993,0.11090382,38.84709183,17.66096829
4.55089300,0.09765584,0.00094193,0.11607582,38.97655983,17.90667529
4.75133300,0.10176784,0.00098193,0.12096282,40.34299783,18.06615029
4.95177400,0.10462584,0.00100993,0.12435982,40.22473483,18.09940529
5.15221400,0.10474684,0.00101093,0.12450382,41.74237483,18.08800129
5.35265400,0.09801984,0.00094593,0.11650782,41.63362483,18.09116329
5.55309300,0.09836984,0.00094893,0.11692382,43.38375783,18.03187129
5.75353300,0.10087284,0.00097393,0.11989982,43.22910583,17.95848729
5.95397300,0.10380784,0.00100193,0.12338782,44.03501583,17.84092929
6.15441300,0.10696484,0.00103193,0.12714082,44.46482083,17.60717029
6.35485400,0.11020884,0.00106393,0.13099682,44.52344783,17.40976429
6.55529400,0.11357484,0.00109593,0.13499782,45.97430683,17.18088429
6.75573300,0.11716784,0.00113093,0.13926882,46.67708183,17.03117229
6.95617300,0.12060984,0.00116393,0.14335982,46.18132683,16.89782029
7.15661300,0.12396384,0.00119593,0.14734582,46.64464083,16.73937529
7.35705300,0.12734484,0.00122893,0.15136482,47.23947783,16.54732429
7.55749300,0.13053684,0.00125993,0.15515882,46.53631183,16.41776629
7.75793400,0.13359884,0.00128893,0.15879782,48.33996983,16.24390429
7.95837400,0.13653184,0.00131793,0.16228482,46.95506583,16.05742629
8.15881300,0.13939584,0.00134493,0.16568882,48.89484483,15.87603329
8.35925300,0.14221684,0.00137193,0.16904182,49.88678783,15.67939929
8.55969300,0.14485384,0.00139793,0.17217582,49.74298783,15.52208829
8.76013300,0.14740184,0.00142293,0.17520482,49.44426983,15.33481929
8.96057300,0.14993984,0.00144693,0.17822182,49.45492083,15.15701829
9.16101400,0.15239684,0.00147093,0.18114282,48.93504383,14.97927429
9.36145400,0.15475784,0.00149393,0.18394882,50.08726383,14.82673029
9.56189300,0.15696284,0.00151493,0.18656982,50.85633083,14.65127629
9.76233300,0.15909484,0.00153493,0.18910282,50.53649783,14.48885729
9.96277300,0.16116584,0.00155493,0.19156482,51.02803583,14.30253229
10.16321300,0.16314584,0.00157393,0.19391882,50.11060883,14.13537329
10.36365300,0.16514084,0.00159393,0.19628882,50.70750383,13.95498929
10.56409400,0.16698584,0.00161193,0.19848282,50.28498783,13.84941229
10.76453400,0.16877684,0.00162893,0.20061182,51.85956283,13.64907729
10.96497300,0.17058984,0.00164593,0.20276682,51.64924683,13.47395529
11.16541300,0.17229284,0.00166293,0.20479082,50.48000383,13.37010429
11.36585300,0.17394484,0.00167893,0.20675482,51.89812983,13.20396229
11.56629300,0.17552784,0.00169393,0.20863582,51.19478183,13.05617829
11.76673400,0.17707684,0.00170893,0.21047782,52.43665783,12.93335329
11.96717400,0.17861684,0.00172393,0.21230782,52.43311183,12.82851229
12.16761400,0.18006584,0.00173793,0.21402982,52.13669783,12.64619529
12.36805300,0.18148284,0.00175093,0.21571482,52.00863683,12.53288429
12.56849300,0.18291984,0.00176493,0.21742282,52.55852383,12.39003329
12.76893300,0.18426784,0.00177793,0.21902482,52.90081283,12.27065929
12.96937300,0.18557484,0.00179093,0.22057782,52.75929283,12.13674529
13.16981400,0.18687484,0.00180293,0.22212282,53.26958383,12.04929429
13.37025400,0.18808584,0.00181493,0.22356282,53.20836283,11.93901129
13.57069300,0.18932384,0.00182693,0.22503382,53.34277983,11.83831229
13.77113300,0.19050184,0.00183793,0.22643382,52.50012383,11.75040929
13.97157300,0.19168184,0.00184993,0.22783782,52.84462783,11.66414729
14.17201300,0.19283184,0.00186093,0.22920382,53.27845583,11.57362829
14.37245300,0.19393584,0.00187193,0.23051682,53.46255383,11.48085729
14.57289400,0.19503684,0.00188193,0.23182482,53.09434683,11.38074729
14.77333400,0.19606684,0.00189193,0.23304882,53.28308583,11.28299929
14.97377300,0.19709184,0.00190193,0.23426782,54.68691483,11.22489829
15.17421300,0.19810384,0.00191193,0.23547082,53.62446983,11.14369629
15.37465300,0.19907384,0.00192093,0.23662282,53.33982983,11.12165029
15.57509300,0.20002784,0.00192993,0.23775682,53.43772083,11.03679129
15.77553300,0.20093084,0.00193893,0.23883082,53.80802783,10.90878329
15.97597400,0.20187884,0.00194793,0.23995782,54.23802183,10.86523229
16.17641400,0.20278884,0.00195693,0.24103882,53.99560083,10.70433129
16.37685300,0.20365284,0.00196493,0.24206582,53.84497683,10.59841929
16.57729300,0.20451284,0.00197393,0.24308882,54.98724283,10.52803029
16.77773300,0.20535284,0.00198193,0.24408682,54.48587283,10.38359229
16.97817300,0.20615984,0.00198993,0.24504582,54.83169383,10.33147429
17.17861300,0.20696584,0.00199693,0.24600382,54.39596183,10.29984529
17.37905400,0.20775684,0.00200493,0.24694482,54.49668383,10.31306829
17.57949400,0.20852784,0.00201193,0.24786082,54.26124783,10.19546429
17.77993300,0.20931284,0.00201993,0.24879282,54.26392483,10.10158629
17.98037300,0.21006384,0.00202693,0.24968682,54.72174983,10.03250529
18.18081300,0.21079584,0.00203393,0.25055582,54.59422983,9.97832329
18.38125300,0.21154184,0.00204093,0.25144282,54.95652383,9.95926629
18.58169300,0.21225984,0.00204793,0.25229682,55.40977783,9.90683229
18.78213400,0.21294784,0.00205493,0.25311482,55.22847783,9.84265829
18.98257400,0.21363584,0.00206193,0.25393182,54.47355583,9.75656129
19.18301300,0.21430484,0.00206793,0.25472682,54.77996083,9.69812629
19.38345300,0.21497284,0.00207493,0.25552182,54.99135783,9.58217729
19.58389300,0.21561084,0.00208093,0.25627982,55.55821783,9.53177429
19.78433300,0.21625184,0.00208693,0.25704182,54.53533783,9.55329329
19.98477400,0.21686584,0.00209293,0.25777182,55.69134483,9.48778129
20.18521400,0.21746784,0.00209893,0.25848682,54.52922783,9.45817129
20.38565300,0.21808084,0.00210493,0.25921482,55.23467683,9.41789829
20.58609300,0.21867284,0.00210993,0.25991882,54.96116183,9.35739929
20.78653300,0.21924884,0.00211593,0.26060382,55.72436083,9.28977729
20.98697300,0.21983384,0.00212093,0.26129882,54.67460783,9.25825029
21.18741300,0.22040284,0.00212693,0.26197482,55.12165183,9.15341229
21.38685100,0.22096284,0.00213193,0.26264182,55.18668983,9.10975229
21.58729100,0.22149884,0.00213793,0.26327882,55.55409883,9.12288929
21.78773200,0.22202684,0.00214293,0.26390582,55.39690583,9.15991229
21.98817200,0.22256784,0.00214793,0.26454882,55.29632583,9.13554529
22.18861200,0.22307884,0.00215293,0.26515682,55.89484883,9.06469429
22.38905100,0.22358984,0.00215793,0.26576382,56.32410783,9.03583729
22.58949100,0.22410284,0.00216293,0.26637382,56.01634183,8.97237929
22.78993100,0.22460784,0.00216793,0.26697382,55.30825183,8.96271929
22.99037100,0.22512484,0.00217293,0.26758782,55.38323983,8.91749929
23.19081200,0.22559184,0.00217693,0.26814282,55.01585083,8.85304729
23.39125200,0.22606884,0.00218193,0.26870982,54.62193783,8.80985829
23.59169100,0.22657084,0.00218693,0.26930682,56.28568883,8.73746829
23.79213100,0.22702984,0.00219093,0.26985282,55.79887583,8.66119229
23.99257100,0.22751184,0.00219593,0.27042582,55.68358883,8.59364729
24.19301100,0.22797884,0.00219993,0.27098082,55.96798183,8.56319729
24.39345100,0.22844684,0.00220493,0.27153682,55.28415783,8.51192929
24.59389200,0.22887984,0.00220893,0.27205182,55.96205483,8.42899029
24.79433200,0.22931384,0.00221293,0.27256682,55.68481083,8.31360729
24.99477100,0.22977984,0.00221693,0.27312082,55.53164883,8.30866529
25.19521100,0.23021684,0.00222193,0.27363982,55.24737983,8.29094729
25.39565100,0.23065184,0.00222593,0.27415782,56.13487083,8.19654829
25.59609100,0.23106084,0.00222993,0.27464382,55.16172483,8.10306229
25.79653100,0.23149384,0.00223393,0.27515882,56.66515483,8.10460929
25.99697200,0.23191784,0.00223793,0.27566182,56.27393483,8.06681129
26.19741200,0.23231484,0.00224193,0.27613382,55.49735383,8.02438929
26.39785100,0.23272684,0.00224593,0.27662382,55.63122083,8.02015029
26.59829100,0.23314484,0.00224993,0.27712082,56.35121583,7.94277929
26.79873100,0.23355784,0.00225393,0.27761182,56.13943183,7.88063229
26.99917100,0.23396784,0.00225793,0.27809882,55.95576983,7.83744929
27.19961100,0.23437784,0.00226193,0.27858682,55.91753083,7.78680529
27.40005200,0.23471984,0.00226493,0.27899382,56.99603083,7.84982629
27.60049200,0.23508384,0.00226893,0.27942582,56.09677283,7.80511729
27.80093100,0.23548584,0.00227293,0.27990282,55.77049183,7.71813229
28.00137100,0.23581784,0.00227593,0.28029782,56.33295783,7.60943329
28.20181100,0.23620484,0.00227893,0.28075882,56.10102883,7.55000629
28.40225100,0.23655884,0.00228293,0.28117882,55.99492683,7.51605429
28.60269100,0.23691684,0.00228593,0.28160382,56.45195483,7.44824129
28.80313200,0.23730284,0.00228993,0.28206282,57.14574883,7.38796029
29.00357200,0.23766584,0.00229393,0.28249482,55.99276983,7.28863329
29.20401100,0.23801784,0.00229693,0.28291282,56.71509183,7.19618829
29.40445100,0.23835484,0.00229993,0.28331382,56.28970283,7.14107729
29.60489100,0.23868084,0.00230293,0.28370082,56.67497283,7.10420329
29.80533100,0.23899484,0.00230593,0.28407382,56.38409483,7.08035829
30.00577200,0.23931884,0.00230993,0.28445982,56.65736383,7.06818129
30.20621200,0.23964684,0.00231293,0.28484882,56.78936583,7.11779629
30.40665100,0.23996284,0.00231593,0.28522482,56.34183383,7.19990929
30.60709100,0.24027584,0.00231893,0.28559682,55.73063683,7.18568629
30.80753100,0.24058684,0.00232193,0.28596682,56.38365483,7.18355029
31.00797100,0.24088384,0.00232493,0.28631982,56.35242883,7.27150929
31.20841100,0.24117684,0.00232693,0.28666782,56.21270483,7.30998529
31.40885200,0.24148084,0.00232993,0.28702882,56.55275383,7.31920729
31.60929200,0.24177584,0.00233293,0.28738082,57.01206383,7.34756529
31.80973100,0.24208084,0.00233593,0.28774182,56.11700583,7.31091429
32.01017100,0.24236384,0.00233893,0.28807882,56.59114483,7.28929729
32.21061100,0.24263484,0.00234193,0.28840082,56.18648683,7.30277929
32.41105100,0.24294584,0.00234493,0.28876982,56.19000983,7.30581829
32.61149100,0.24322984,0.00234693,0.28910782,57.11320283,7.20483429
32.81193200,0.24351484,0.00234993,0.28944682,56.84739983,7.15319229
33.01237200,0.24379284,0.00235293,0.28977782,56.13493783,7.10054729
33.21281100,0.24404684,0.00235493,0.29007882,56.68409483,7.04458029
33.41325100,0.24433584,0.00235793,0.29042182,56.91358483,6.99592529
33.61369100,0.24460984,0.00236093,0.29074782,57.55508783,6.91375929
33.81413100,0.24487984,0.00236293,0.29106882,56.20114083,6.95219729
34.01457100,0.24513584,0.00236593,0.29137382,56.74793883,6.97126629
34.21501200,0.24541184,0.00236793,0.29170182,56.68610883,6.89899729
34.41545200,0.24568284,0.00237093,0.29202382,56.26814583,6.94057529
34.61589100,0.24591984,0.00237293,0.29230482,56.46737683,6.96431929
34.81633100,0.24616284,0.00237593,0.29259482,56.46768583,6.90210329
35.01677100,0.24644884,0.00237793,0.29293482,56.44654883,6.90976029
35.21721100,0.24672884,0.00238093,0.29326682,56.36648183,6.83330529
35.41765100,0.24695984,0.00238293,0.29354182,56.67974083,6.76781329
35.61809200,0.24717984,0.00238493,0.29380382,56.38231183,6.79405229
35.81853200,0.24741984,0.00238793,0.29408882,56.98795983,6.79978929
36.01897100,0.24766084,0.00238993,0.29437582,57.03487183,6.71882029
36.21941100,0.24792884,0.00239293,0.29469382,57.02488183,6.69660729
36.41985100,0.24819084,0.00239493,0.29500582,57.49233083,6.70546629
36.62029100,0.24842684,0.00239693,0.29528482,56.07451883,6.66201229
36.82073200,0.24864184,0.00239893,0.29554082,56.80601283,6.64172429
37.02117200,0.24888684,0.00240193,0.29583182,57.39260383,6.63137429
37.22161100,0.24906184,0.00240393,0.29604082,57.33464483,6.62300929
37.42205100,0.24929184,0.00240593,0.29631382,56.53752283,6.56743829
37.62249100,0.24950084,0.00240793,0.29656182,56.94555783,6.55612529
37.82293100,0.24974284,0.00240993,0.29684982,56.78457583,6.54461129
38.02337100,0.24993284,0.00241193,0.29707582,56.45547983,6.54552829
38.22381200,0.25014784,0.00241393,0.29733082,56.50420883,6.55326429
38.42425200,0.25035084,0.00241593,0.29757282,57.23668583,6.47783129
38.62469100,0.25055284,0.00241793,0.29781282,56.40299883,6.42059529
38.82513100,0.25077284,0.00241993,0.29807382,57.15225383,6.43851529
39.02456900,0.25098484,0.00242193,0.29832582,57.01903483,6.48046329
39.22500900,0.25119584,0.00242393,0.29857682,57.23093583,6.52464829
39.42544900,0.25138784,0.00242593,0.29880482,57.14891383,6.46277629
39.62588900,0.25159484,0.00242793,0.29905082,57.30231583,6.42696429
39.82632900,0.25178784,0.00242993,0.29927982,56.89214483,6.40864929
40.02676900,0.25201884,0.00243193,0.29955482,56.37894783,6.46182529
40.22720900,0.25223184,0.00243393,0.29980782,57.35607483,6.21308729
40.42764900,0.25241784,0.00243593,0.30002882,57.88539283,5.99716629
40.62808900,0.25267084,0.00243793,0.30032982,56.79615183,5.80489629
40.82852900,0.25292884,0.00244093,0.30063582,57.41993883,5.64779729
41.02896900,0.25317884,0.00244293,0.30093382,56.72178383,5.55437729
41.22940900,0.25340684,0.00244493,0.30120482,56.77435683,5.43253929
41.42984900,0.25363884,0.00244793,0.30147982,57.22302383,5.38790929
41.63028900,0.25386584,0.00244993,0.30174982,56.79597583,5.30236529
41.83072900,0.25409484,0.00245193,0.30202282,57.25543183,5.25789229
42.03116900,0.25429184,0.00245393,0.30225682,56.76483583,5.14748929
42.23160900,0.25451984,0.00245593,0.30252782,56.62180783,5.12836229
42.43204900,0.25472584,0.00245793,0.30277282,56.88513283,5.10987029
42.63248900,0.25495284,0.00245993,0.30304282,57.55655483,5.10527429
42.83292900,0.25516984,0.00246193,0.30330082,57.52187083,5.04702129
43.03336900,0.25536684,0.00246393,0.30353382,56.62891183,5.04780829
43.23380900,0.25558084,0.00246593,0.30378882,56.73183783,5.01170129
43.43424900,0.25578584,0.00246793,0.30403182,57.38407583,4.96662629
43.63468900,0.25600084,0.00247093,0.30428882,56.85135783,4.95280529
43.83512900,0.25619384,0.00247193,0.30451682,57.26995683,4.94904729
